files	5/
hsa-mir-3128	23
hsa-mir-7-5p	262477
hsa-mir-3658	4
hsa-mir-2467-5p	1
hsa-mir-6883-3p	3
hsa-mir-206	1
hsa-mir-8059	0
hsa-mir-4716-5p	0
hsa-mir-4477a	1
hsa-mir-30c-2-3p	3604
hsa-mir-6780a-5p	10
hsa-mir-644a	4
hsa-mir-4707-5p	2
hsa-mir-3141	0
hsa-mir-3672	0
hsa-mir-4743-3p	0
hsa-mir-518c-3p	0
hsa-mir-5009-3p	2
hsa-mir-4699-5p	0
hsa-mir-4510	155
hsa-mir-4649-5p	0
hsa-mir-361-5p	1356
hsa-mir-548al	6
hsa-mir-1294	2
hsa-mir-585-3p	3
hsa-mir-600	10
hsa-mir-141-5p	0
hsa-mir-4314	0
hsa-mir-200b-5p	89
hsa-mir-3664-5p	3
hsa-mir-3158-3p	165
hsa-mir-4664-3p	28
hsa-mir-345-5p	807
hsa-mir-6845-5p	0
hsa-mir-3919	30
hsa-mir-4742-3p	4
hsa-mir-4781-3p	11
hsa-mir-6747-5p	0
hsa-mir-320b	376
hsa-mir-3139	3
hsa-mir-4524b-5p	1
hsa-mir-1246	1302
hsa-mir-1250-3p	1
hsa-mir-4779	1
hsa-mir-6851-5p	1
hsa-mir-3189-5p	0
hsa-mir-6741-5p	3
hsa-mir-6780a-3p	0
hsa-mir-5693	0
hsa-mir-1292-5p	68
hsa-mir-4659b-3p	0
hsa-mir-3165	2
hsa-mir-181b-2-3p	91
hsa-mir-5706	1
hsa-mir-4640-5p	0
hsa-mir-621	3
hsa-mir-410-3p	9
hsa-mir-135a-3p	225
hsa-mir-580-5p	1
hsa-mir-6814-3p	0
hsa-let-7a-3p	2738
hsa-mir-7106-5p	0
hsa-mir-346	1
hsa-mir-196b-5p	565
hsa-mir-658	1
hsa-mir-5690	4
hsa-mir-6746-5p	0
hsa-mir-4417	0
hsa-mir-3665	4
hsa-mir-6780b-3p	2
hsa-mir-517b-3p	0
hsa-mir-592	13
hsa-mir-4693-3p	0
hsa-mir-552-3p	3
hsa-mir-6833-3p	0
hsa-mir-6802-3p	0
hsa-mir-6745	0
hsa-mir-302c-3p	1156
hsa-mir-559	6
hsa-mir-548h-3p	3
hsa-mir-499a-5p	19
hsa-mir-3688-5p	0
hsa-mir-4667-3p	0
hsa-mir-499b-3p	0
hsa-mir-6746-3p	0
hsa-mir-3907	0
hsa-mir-659-5p	27
hsa-mir-376a-3p	10
hsa-mir-380-5p	4
hsa-mir-4755-5p	7
hsa-mir-548c-5p	3
